problem_id,difficulty,content_grouping,KCs (comma separated),max grade,type,options,problem_file_location,problem_name
QMBzaBOfQEUvD,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.9,Intro to Arrays #30P
QMBZtNLWCPwUJ,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.10,Intro to Arrays #48V
QMBZExpI0y46N,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.11,Intro to Arrays #87F
QMBTAsaWSv5kR,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.12,Intro to Arrays #08W
QMBGdnxRMDgcq,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.13,Intro to Arrays #46U
QMBKmX7R2He3A,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.14,Intro to Arrays #68Q
QMBlFWcEj4Kan,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.15,Intro to Arrays #63X
QMByAIV6kCudM,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.16,Intro to Arrays #26J
QMB23EgzQWDeH,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.17,Intro to Arrays #47F
QMBXSodTPfmQp,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.18,Intro to Arrays #58S
QMBHvWqkyEOYR,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.19,Intro to Arrays #27R
QMBt7pdMLJ01X,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.0,Intro to Arrays #59C
QMBthriA7xaZN,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1,Intro to Arrays #48C
QMB2UOFW7etVZ,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.2,Intro to Arrays #95V
QMBHZP8Cr9DNR,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.3,Intro to Arrays #03M
QMBlwWdr3EV2K,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.4,Intro to Arrays #24F
QMBjZ8PLQ09a6,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.5,Intro to Arrays #35D
QMBYnhIE96JRQ,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.6,Intro to Arrays #16I
QMBGIQuD7O5lM,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.7,Intro to Arrays #19Y
QMB8Y2FIqOgpv,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.8,Intro to Arrays #69J
QMBAatrZyCWJ9,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.9,Intro to Arrays #73Z
QMBG5cILqxfZe,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.10,Intro to Arrays #64V
QMBmQUSZ21MRj,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.11,Intro to Arrays #02S
QMB1RaoTdz876,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.12,Intro to Arrays #87H
QMBjiQzEIAgOF,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.13,Intro to Arrays #17E
QMBC4jaQrBgRx,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.14,Intro to Arrays #89Z
QMB4It0pBEsbJ,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.15,Intro to Arrays #21U
QMBQ4OF5oYStb,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.16,Intro to Arrays #57K
QMBNEYtXR0Kck,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.17,Intro to Arrays #76V
QMBNtTICM2r4v,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.18,Intro to Arrays #17F
QMBrvbkgZctD0,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.19,Intro to Arrays #47R
QMBXUki5h9g7Q,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.0,Intro to Arrays #04T
QMB8tSPCzj1M0,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.1,Intro to Arrays #04B
QMBEr3L1a9utx,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.2,Intro to Arrays #47S
QMBdCpHiuIDGK,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.3,Intro to Arrays #23N
QMBexgi4oL8sn,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.4,Intro to Arrays #64O
QMBzAL8K3vV2n,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.5,Intro to Arrays #79E
QMBv3J9EMRyqr,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.6,Intro to Arrays #17M
QMBAyJLaoMWi4,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.7,Intro to Arrays #09U
QMB9oKhMt07Ff,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.8,Intro to Arrays #52E
QMByRAuj87FQI,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.9,Intro to Arrays #97H
QMBtcgsMmxrNo,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.10,Intro to Arrays #59L
QMBE026L3r5O9,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.11,Intro to Arrays #92I
QMB5MCm3x8kHq,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.12,Intro to Arrays #60X
QMBrE4Bt2U6sw,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.13,Intro to Arrays #13V
QMBtZSEc74hN0,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.14,Intro to Arrays #74M
QMBlQfYM7E9hm,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.15,Intro to Arrays #08Y
QMBJPQAwI96yF,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.16,Intro to Arrays #50I
QMBt8sLdKufC6,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.17,Intro to Arrays #53V
QMBuPvsW7riNe,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.18,Intro to Arrays #05N
QMB5Cmj2UuAri,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2.1.19,Intro to Arrays #41M
QMBjx64fPM7VC,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.0,Intro to Arrays #53G
QMBM83eoBkquP,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1,Intro to Arrays #47A
QMB3uhpRxbNjP,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.2,Intro to Arrays #26X
QMBKiWY2T8hQG,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.3,Intro to Arrays #63C
QMBoGRiOEyKm5,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.4,Intro to Arrays #12E
QMB5diWMj9nSp,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.5,Intro to Arrays #91N
QMBUWqmfSZQuI,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.6,Intro to Arrays #21H
QMBBuCi0kOvZw,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.7,Intro to Arrays #12W
QMBgjM26iITXQ,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.8,Intro to Arrays #60I
QMB1XuJadp7On,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.9,Intro to Arrays #19S
QMBrxK7Hn6paJ,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.10,Intro to Arrays #53E
QMB0f12NAs3yG,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.11,Intro to Arrays #35H
QMBWmHXZE47dw,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.12,Intro to Arrays #17M
QMBAYJxP7tLof,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.13,Intro to Arrays #60B
QMBlYei5ZsDFQ,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.14,Intro to Arrays #94Y
QMBxAkO7eWhGy,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.15,Intro to Arrays #97H
QMB2uP9NSlJDO,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.16,Intro to Arrays #49W
QMBPcoIsp9uBU,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.17,Intro to Arrays #72H
QMBVamn8ec1T3,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.18,Intro to Arrays #43U
QMBPWZC07qSB4,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.19,Intro to Arrays #76I
QMBwCcbXgi0Gh,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.0,Intro to Arrays #51H
QMBx3BFyiracP,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.1,Intro to Arrays #14W
QMBi5fkOXMJj0,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.2,Intro to Arrays #76H
QMB5wKsDZaBcz,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.3,Intro to Arrays #43E
QMBCRHJn06TMl,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.4,Intro to Arrays #83X
QMBkqoJyiuVbF,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.5,Intro to Arrays #25O
QMBodQMn2yRiG,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.6,Intro to Arrays #79T
QMBoyBDMsJOXK,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.7,Intro to Arrays #74Y
QMBvoL1MWcYSy,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.8,Intro to Arrays #79D
QMB0O6xKYMRgP,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.9,Intro to Arrays #61Q
QMBEFLHafBczo,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.10,Intro to Arrays #24V
QMBcEqLxvsTJH,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.11,Intro to Arrays #14U
QMBHPBfUwX8iQ,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.12,Intro to Arrays #26R
QMBQbc9K7ezjF,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.13,Intro to Arrays #83B
QMBkCy0oBc5dG,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.14,Intro to Arrays #40N
QMB3lrGuWQ0Oa,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.15,Intro to Arrays #41H
QMBwUeoyzkIGH,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.16,Intro to Arrays #78J
QMBWmIiGAdKz0,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.17,Intro to Arrays #10R
QMB0q4IKYzDiw,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.18,Intro to Arrays #46T
QMBIsXE27dpJn,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr3.19,Intro to Arrays #53M
QMBD1kmV5njFY,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.0,Intro to Arrays #18T
QMBsjwmXZif4Y,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.1,Intro to Arrays #07M
QMBRbFALVi0HB,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.2,Intro to Arrays #01Q
QMBomI1whcOLr,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.3,Intro to Arrays #21H
QMB3K0mvrFxJG,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.4,Intro to Arrays #34E
QMBSkPsRnM81G,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.5,Intro to Arrays #69V
QMB59gz8vGSP6,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.6,Intro to Arrays #42E
QMBnavQYpKqIk,1,CG1.1.1,"2.2.4,2.2.1,2.2.3,2.2.2",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr4.7,Intro to Arrays #76B
